Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
320,MBAPL.NS,465.25,297.27K,Process Industries,Chemicals: Agricultural,89.0,82.0,90.0,85.0,254.42K,384.30K,489.45,240.0,-4.94
322,TORNTPHARM.NS,4297.5,237.00K,Health Technology,Pharmaceuticals: Major,89.0,81.0,89.0,89.0,327.97K,359.88K,4482.9,3101.6,-4.14
324,BANKINDIA.NS,149.5,8782.49K,Finance,Major Banks,89.0,27.0,85.0,91.0,11814.32K,8478.28K,178.36,103.0,-16.18
326,BUILDPRO.NS,991.85,27.86K,Distribution Services,Wholesale Distributors,89.0,81.0,,,75.85K,48.43K,1050.2,636.0,-5.56
328,MCL.NS,60.27,49.20K,Non-Energy Minerals,Other Metals/Minerals,88.0,78.0,94.0,91.0,253.59K,73.58K,93.2,42.0,-35.33
330,LOKESHMACH.NS,201.67,330.04K,Technology Services,Information Technology Services,88.0,95.0,93.0,82.0,108.94K,112.10K,255.87,138.96,-21.18
332,VTL.NS,523.65,280.38K,Process Industries,Textiles,88.0,75.0,92.0,91.0,657.77K,470.35K,559.9,383.7,-6.47
333,DCBBANK.NS,173.32,1329.80K,Finance,Regional Banks,88.0,51.0,77.0,92.0,2432.09K,1547.84K,203.7,110.1,-14.91
343,CONSOFINVT.NS,218.0,0.93K,Finance,Financial Conglomerates,88.0,50.0,94.0,88.0,43.26K,49.13K,245.95,152.0,-11.36
345,AUBANK.NS,910.4,2124.90K,Finance,Regional Banks,88.0,61.0,67.0,92.0,2966.53K,3081.43K,1039.2,513.5,-12.39
347,MAHABANK.NS,65.51,18414.86K,Finance,Major Banks,88.0,64.0,90.0,87.0,23140.58K,20385.09K,77.0,42.0,-14.92
348,KRISHNADEF.NS,887.2,82.99K,Electronic Technology,Aerospace & Defense,88.0,26.0,91.0,86.0,185.02K,181.30K,1240.0,601.0,-28.45
351,TIRUPATIFL.NS,42.92,413.97K,Producer Manufacturing,Industrial Conglomerates,88.0,96.0,95.0,86.0,632.10K,1210.14K,52.0,28.21,-17.46
352,WELINV.NS,1306.2,0.70K,Finance,Investment Banks/Brokers,88.0,87.0,72.0,92.0,0.93K,0.44K,1549.0,716.4,-15.67
353,TVSHLTD.NS,14090.0,4.19K,Producer Manufacturing,Auto Parts: Oem,88.0,74.0,77.0,83.0,7.65K,6.02K,16297.0,7904.7,-13.54
354,JAMNAAUTO.NS,121.47,3313.42K,Producer Manufacturing,Auto Parts: Oem,88.0,36.0,70.0,88.0,4118.64K,2593.88K,152.6,69.7,-20.4
356,JBCHEPHARM.NS,2085.3,335.52K,Health Technology,Pharmaceuticals: Major,88.0,85.0,91.0,90.0,283.16K,476.88K,2195.0,1385.75,-5.0
357,HIRECT.NS,794.0,86.81K,Producer Manufacturing,Electrical Products,88.0,95.0,86.0,73.0,97.76K,90.27K,1630.0,399.5,-51.29
358,LINDEINDIA.NS,7356.5,95.30K,Process Industries,Chemicals: Specialty,88.0,94.0,94.0,89.0,57.71K,64.38K,7870.0,5242.4,-6.52
359,TATASTEEL.NS,196.65,34763.12K,Non-Energy Minerals,Steel,87.0,66.0,91.0,88.0,33493.75K,35795.15K,216.45,125.3,-9.15
361,SCHNEIDER.NS,893.5,58.84K,Distribution Services,Wholesale Distributors,87.0,75.0,93.0,81.0,496.22K,106.28K,1052.0,540.0,-15.07
