Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
2484,STOVEKRAFT.NS,487.35,74.73K,Consumer Durables,Electronics/Appliances,20.0,41.0,17.0,19.0,79.49K,84.14K,820.0,453.15,16.13B,No
2485,PATELSAI.BO,246.0,8.05K,Producer Manufacturing,Industrial Machinery,20.0,89.0,85.0,12.0,6.84K,7.47K,569.7,200.2,1.35B,No
2486,MICEL.NS,38.0,807.32K,Health Technology,Medical Specialties,20.0,40.0,42.0,31.0,1304.71K,1704.47K,82.97,33.31,9.17B,No
2487,ZODJRDMKJ.BO,37.27,2.11K,Non-Energy Minerals,Other Metals/Minerals,20.0,37.0,24.0,30.0,9.94K,9.31K,76.0,35.21,409.06M,No
2488,PINELABS.NS,190.11,1121.35K,Technology Services,Packaged Software,20.0,5.0,18.0,,1740.11K,1965.66K,284.0,189.0,218.30B,No
2489,FUTSOL.BO,41.98,0.01K,Commercial Services,Miscellaneous Commercial Services,20.0,38.0,29.0,43.0,0.40K,0.29K,68.0,39.0,439.68M,No
2490,CORALAB.BO,439.15,1.41K,Health Technology,Pharmaceuticals: Other,20.0,49.0,45.0,61.0,1.80K,1.92K,805.0,415.0,1.57B,No
2491,TUTIALKA.BO,53.65,16.89K,Process Industries,Chemicals: Specialty,20.0,92.0,49.0,13.0,20.11K,20.03K,94.0,41.5,6.54B,No
2492,KECL.NS,89.98,274.29K,Producer Manufacturing,Electrical Products,20.0,83.0,31.0,29.0,287.63K,973.83K,151.92,75.47,6.01B,No
2493,TGVSL.BO,86.58,112.94K,Process Industries,Chemicals: Specialty,20.0,38.0,14.0,13.0,108.56K,179.73K,142.25,84.2,9.27B,No
2494,GGAUTO.BO,177.15,17.40K,Producer Manufacturing,Industrial Machinery,20.0,1.0,3.0,10.0,11.95K,20.07K,323.0,151.0,1.77B,No
2495,ZAPPFRESH.BO,116.05,188.40K,Retail Trade,Food Retail,20.0,44.0,5.0,,96.59K,101.16K,208.0,104.3,2.59B,No
2496,VISVEN.BO,51.25,0.01K,Commercial Services,Miscellaneous Commercial Services,20.0,7.0,16.0,30.0,0.53K,0.08K,79.0,48.69,159.81M,No
2497,SHALBY.NS,155.44,115.35K,Health Services,Hospital/Nursing Management,20.0,22.0,12.0,37.0,137.42K,184.98K,274.7,151.0,16.68B,No
2498,ANDHRAPET.BO,40.32,44.51K,Process Industries,Chemicals: Specialty,20.0,17.0,21.0,28.0,46.23K,43.08K,63.51,39.95,3.43B,No
2499,GGDPROP.BO,65.7,0.04K,Producer Manufacturing,Industrial Machinery,20.0,33.0,29.0,29.0,0.59K,0.32K,109.0,63.2,312.82M,No
2500,KEYCORP.BO,73.67,0.70K,Finance,Finance/Rental/Leasing,20.0,6.0,85.0,7.0,1.30K,1.21K,251.4,63.04,442.02M,No
2501,OCTAVIUSPL.BO,43.44,0.00K,Process Industries,Agricultural Commodities/Milling,20.0,35.0,63.0,27.0,0.65K,1.08K,78.05,40.33,130.32M,No
2502,IMAGICAA.NS,44.26,310.56K,Consumer Services,Movies/Entertainment,20.0,7.0,39.0,29.0,631.94K,579.00K,75.55,43.9,25.05B,No
2503,OLATECH.BO,169.0,2.77K,Technology Services,Data Processing Services,20.0,0.0,28.0,24.0,8.07K,3.33K,338.1,148.0,752.14M,No
2504,SHAREINDIA.NS,133.72,850.41K,Finance,Investment Banks/Brokers,20.0,19.0,19.0,53.0,491.23K,503.77K,211.0,127.5,29.26B,No
2505,AJAXENGG.NS,488.9,82.02K,Producer Manufacturing,Trucks/Construction/Farm Machinery,20.0,41.0,18.0,18.0,67.54K,128.85K,756.2,465.0,55.93B,No
2506,HBPOR.BO,60.27,1.23K,Finance,Investment Banks/Brokers,20.0,69.0,32.0,27.0,1.21K,1.96K,107.1,55.1,648.76M,No
2507,SHRJAGP.BO,605.2,0.35K,Process Industries,Textiles,20.0,56.0,35.0,8.0,0.85K,0.83K,1279.95,590.2,5.30B,No
2508,CONSTRONIC.BO,50.79,0.84K,Distribution Services,Wholesale Distributors,20.0,14.0,20.0,48.0,1.66K,4.11K,92.25,45.0,636.35M,No
2509,VPL.BO,36.0,1.20K,Process Industries,Agricultural Commodities/Milling,20.0,3.0,7.0,50.0,2.33K,1.92K,65.0,33.6,191.98M,No
2510,SHREYANIND.NS,151.28,2.90K,Process Industries,Pulp & Paper,19.0,23.0,26.0,9.0,6.83K,8.45K,250.0,143.55,2.10B,No
