Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,ADR_Pct
2102,SONALAD.BO,42.79,0.16K,Producer Manufacturing,Miscellaneous Manufacturing,33.0,61.0,60.0,40.0,1.51K,0.46K,66.8,30.4,259.35M,No,37.6,45.0,37.8,41.99,4.21
2103,LICI.NS,802.15,962.38K,Finance,Life/Health Insurance,33.0,16.0,25.0,39.0,1434.54K,1135.86K,980.0,721.5,5073.60B,No,803.72,859.45,792.39,842.92,1.52
2104,BHARTIARTL.NS,1834.5,4839.08K,Communications,Wireless Telecommunications,33.0,11.0,16.0,41.0,9297.41K,8582.09K,2174.5,1746.9,11174.81B,No,1847.78,1961.74,1840.66,1975.56,1.88
2105,NIYOGIN.BO,47.53,13.63K,Finance,Finance/Rental/Leasing,33.0,32.0,46.0,22.0,109.43K,58.02K,82.4,30.2,5.29B,No,41.64,54.67,42.53,50.01,5.96
2106,EMPIND.BO,926.25,1.81K,Distribution Services,Food Distributors,33.0,30.0,42.0,38.0,1.50K,0.84K,1275.0,811.05,5.56B,No,887.42,992.01,886.51,938.23,3.12
2107,WENDT.NS,7585.5,40.09K,Producer Manufacturing,Industrial Machinery,33.0,67.0,63.0,40.0,9.18K,6.58K,12990.0,5841.5,15.17B,No,6758.19,8157.65,6799.8,7430.97,3.84
2108,STERTOOLS.NS,261.76,83.23K,Producer Manufacturing,Metal Fabrication,33.0,75.0,60.0,32.0,122.61K,54.84K,393.45,155.0,9.51B,No,218.93,276.45,216.04,250.79,5.1
2109,AVG.NS,174.26,16.85K,Transportation,Air Freight/Couriers,33.0,64.0,77.0,22.0,58.91K,18.32K,339.9,116.66,2.62B,No,154.56,192.47,155.05,170.81,5.3
2110,GSPL.NS,288.95,1517.70K,Utilities,Gas Distributors,33.0,70.0,25.0,52.0,1404.47K,771.54K,360.6,226.35,163.03B,No,270.0,297.09,265.8,290.44,3.13
2111,BTTL.NS,34.17,12.41K,Process Industries,Textiles,33.0,,,,7.01K,7.65K,37.25,32.06,,No,,,,,
2112,PAUSHAKLTD.NS,504.75,10.49K,Process Industries,Chemicals: Major Diversified,33.0,50.0,45.0,,21.15K,21.74K,633.05,342.5,12.45B,No,447.04,,442.06,,4.88
2113,NATPLAS.BO,48.6,1.31K,Producer Manufacturing,Miscellaneous Manufacturing,33.0,55.0,52.0,41.0,5.26K,3.37K,72.0,37.0,443.70M,No,45.72,54.03,44.94,50.16,4.72
2114,SUNDROP.NS,670.15,44.18K,Process Industries,Agricultural Commodities/Milling,33.0,41.0,52.0,34.0,22.97K,16.59K,960.15,556.0,25.26B,No,634.39,728.87,632.5,682.46,3.22
2115,ASIAN.BO,36.9,0.23K,Commercial Services,Miscellaneous Commercial Services,33.0,41.0,68.0,43.0,1.14K,0.89K,55.0,29.1,128.68M,No,36.01,39.47,36.01,37.4,6.61
2116,INDIGOPNTS.NS,974.15,344.42K,Process Industries,Industrial Specialties,33.0,71.0,22.0,59.0,145.29K,112.11K,1345.9,708.05,46.44B,No,836.56,1059.33,824.58,1017.42,3.51
2117,SUPERHOUSE.NS,153.04,3.52K,Consumer Non-Durables,Apparel/Footwear,33.0,16.0,16.0,50.0,5.00K,4.18K,201.95,128.55,1.69B,No,148.1,155.71,146.89,151.88,4.33
2118,20MICRONS.NS,181.81,87.28K,Process Industries,Chemicals: Specialty,33.0,65.0,54.0,40.0,124.68K,74.61K,283.93,129.61,6.42B,No,166.44,199.32,164.65,183.74,3.76
2119,IDFCFIRSTB.NS,71.27,21077.44K,Finance,Regional Banks,33.0,36.0,7.0,38.0,47814.54K,27035.17K,87.0,58.08,613.51B,No,66.72,74.71,66.05,76.39,2.17
