Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Sector,Industry,"High, 52 weeks","High, 52 weeks - Currency","Low, 52 weeks","Low, 52 weeks - Currency",Exchange,Free float %,"Performance %, Year to date"
ELGNZ,Eleganz Interiors Ltd.,91,INR,6.060606060606064,36000,0.314410480349345,Industrial services,Engineering & construction,163,INR,52,INR,NSE,,-6.185567010309279
CONCOR,Container Corporation of India Limited,493.05,INR,6.055065605506568,714570,6.27035802035802,Transportation,Railroads,625,INR,421.8,INR,BSE,45.2014,-6.388836149610791
RTFL,Real Touch Finance Ltd.,47.19,INR,6.044943820224714,1581,12.274844720496894,Finance,Finance/Rental/Leasing,64.8,INR,41.88,INR,BSE,45.8774,-8.279883381924208
SWARAJ,Swaraj Suiting Limited,363.2,INR,5.9973734131037535,308000,2.2375590265165273,Process industries,Textiles,364.45,INR,158.5,INR,NSE,,44.990019960079835
FIDEL,Fidel Softech Ltd.,155.65,INR,5.95643294758339,14000,2.6923076923076925,Technology services,Information technology services,210.9,INR,108.1,INR,NSE,27.275699999999997,8.09027777777778
SOUTHMG,Southern Magnesium & Chemicals Ltd.,75.78,INR,5.956375838926182,686,0.4741826225202184,Non-energy minerals,Other metals/Minerals,185,INR,61.15,INR,BSE,,-15.865437992672357
AMCOIND,Amco India Limited,63.8,INR,5.94486881434739,429,1.836472602739726,Producer manufacturing,Industrial machinery,104.99,INR,56.5,INR,BSE,,-12.6027397260274
THYROCARE,Thyrocare Technologies Ltd,540.45,INR,5.939429579535444,750928,2.484626759051143,Health services,Medical/Nursing services,578.25,INR,342.55,INR,NSE,38.9722,21.449438202247197
STHINPA,South India Paper Mills Limited,111,INR,5.916030534351148,13179,2.7703853187866962,Process industries,Pulp & paper,119.9,INR,65.1,INR,BSE,,23.953098827470694
VADILALIND,Vadilal Industries Limited,6806.5,INR,5.8800653340592675,53534,4.780803200657277,Consumer non-durables,Food: specialty/candy,6874,INR,3996,INR,NSE,31.421599999999998,36.48486063765791
BIOCON,Biocon Limited,437.3,INR,5.85814572742677,48029042,237.83888631936162,Health technology,Pharmaceuticals: major,444.5,INR,331,INR,BSE,49.41160000000001,11.074422148844302
NITIRAJ,Nitiraj Engineers Ltd.,192.73,INR,5.825829123654725,7251,4.335166806170035,Electronic technology,Electronic equipment/Instruments,236.98,INR,168,INR,NSE,26.836399999999998,5.035696768216241
