Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Sector,Industry,"High, 52 weeks","High, 52 weeks - Currency","Low, 52 weeks","Low, 52 weeks - Currency",Exchange,Free float %,"Performance %, Year to date"
ABCOTS,AB Cotspin India Ltd.,216.6,INR,7.440476190476191,4051,4.400869092884302,Consumer non-durables,Apparel/Footwear,508,INR,197.2,INR,BSE,,-47.554479418886196
MSTCLTD,MSTC Ltd.,701.55,INR,7.402020820575614,1266456,4.3388527010253615,Retail trade,Internet retail,743.9,INR,362.15,INR,NSE,33.724399999999996,34.165232358003436
DOLPHIN,Dolphin Offshore Enterprises India Ltd.,619.4,INR,7.37626766057033,553474,3.396271105733003,Industrial services,Oilfield services/Equipment,639,INR,322,INR,NSE,9.955699999999998,26.40816326530612
KATARIA,Kataria Industries Limited,102.9,INR,7.355242566510184,25200,7.368421052631579,Producer manufacturing,Electrical products,125.85,INR,85.5,INR,NSE,,-2.8787163756488883
MCLOUD,Magellanic Cloud Ltd.,28.83,INR,7.334326135517494,458642,2.845233708403187,Technology services,Information technology services,90.47,INR,19.43,INR,BSE,27.482499999999998,10.206422018348617
CANARYS,Canarys Automations Ltd.,22.75,INR,7.311320754716985,72000,0.625,Technology services,Information technology services,35.2,INR,14.6,INR,NSE,,-23.913043478260867
YUKEN,Yuken India Limited,881.95,INR,7.299714094531297,23830,1.4828227768547728,Producer manufacturing,Industrial machinery,1053.9,INR,584.1,INR,NSE,31.971500000000002,-3.9217822321477205
FINKURVE,Finkurve Financial Services Ltd.,78.19,INR,7.212395447689553,466773,1.8950269715936563,Finance,Finance/Rental/Leasing,134.9,INR,48.02,INR,NSE,16.0928,-22.775308641975307
YUKEN,Yuken India Limited,881.25,INR,7.208029197080291,1753,0.2919088138810717,Producer manufacturing,Industrial machinery,1090,INR,587,INR,BSE,31.971500000000002,-3.625328083989499
RETINA,Retina Paints Ltd.,43.9,INR,7.203907203907193,2000,0.09259259259259252,Process industries,Industrial specialties,80.7,INR,37,INR,BSE,,-33.40412621359224
MSTCLTD,MSTC Ltd.,702.65,INR,7.1112804878048745,59402,5.33308195072901,Retail trade,Internet retail,743,INR,362,INR,BSE,33.724399999999996,34.60727969348658
RITCO,Ritco Logistics Ltd.,313,INR,7.0085470085470085,381642,2.2099077048152274,Transportation,Trucking,318.4,INR,167.1,INR,NSE,29.192599999999995,14.463338818796858
SGMART,SG Mart Ltd,804.95,INR,6.998537817360108,907346,2.883491615957329,Utilities,Electric utilities,809,INR,313.1,INR,NSE,33.26559999999999,113.79814077025235
PAKKA,Pakka Ltd,95.49,INR,6.955645161290315,2369403,11.111427395022138,Process industries,Pulp & paper,178.84,INR,69.1,INR,NSE,56.0198,-10.455738934733688
ANTELOPUS,Antelopus Selan Energy Ltd,856.55,INR,6.948433012860529,386388,2.530577119178534,Energy minerals,Integrated oil,933.65,INR,357,INR,NSE,28.1557,106.14921780986761
CONTPTR,Continental Petroleums Limited,77.8,INR,6.9415807560137415,13660,6.587577160493828,Energy minerals,Oil refining/Marketing,125,INR,68.2,INR,BSE,,-27.82931354359926
MGIL,Maruti Global Industries Ltd,36.34,INR,6.882352941176481,96610,10.14736311405674,Finance,Investment banks/Brokers,54.4,INR,26.51,INR,BSE,,-20.16695957820738
PBMPOLY,PBM Polytex Ltd.,63.7,INR,6.843341160684344,25,0.02313315443693902,Process industries,Textiles,75.49,INR,44.15,INR,BSE,,23.809523809523807
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2883.2,INR,6.824749907373094,21867,7.3539599798217585,Health technology,Pharmaceuticals: major,2918,INR,2088,INR,BSE,24.354100000000003,16.565930178495623
ELDEHSG,Eldeco Housing & Industries Ltd.,817.5,INR,6.813876004442408,11501,0.706792608206685,Finance,Real estate development,1044.1,INR,691.2,INR,NSE,21.800199999999997,-18.31534772182254
BASILIC,Basilic Fly Studio Ltd.,183.1,INR,6.794983960338295,49800,1.5528531337698783,Consumer services,Movies/Entertainment,509.8,INR,164,INR,NSE,,-46.139138108545374
RBA,Restaurant Brands Asia Limited,106.34,INR,6.7777889346319915,17134006,0.4270576195439763,Consumer services,Restaurants,108.41,INR,57.15,INR,NSE,36.217299999999994,67.72870662460569
IPRINGLTD,IP Rings Limited,143.07,INR,6.768656716417905,2174,0.01565139012277774,Producer manufacturing,Industrial conglomerates,153,INR,124.5,INR,NSE,94.4446,10.906976744186041
AMEENJI,Ameenji Rubber Limited,197.5,INR,6.756756756756757,16800,0.46511627906976744,Producer manufacturing,Miscellaneous manufacturing,198,INR,96.05,INR,BSE,18.7222,47.38805970149254
GOKAKTEX,Gokak Textiles Limited,63.29,INR,6.728499156829683,997,1.1884610799856956,Process industries,Textiles,99,INR,52.59,INR,BSE,,-6.940155859432444
RBA,Restaurant Brands Asia Limited,106.61,INR,6.706035431888703,641769,0.2863279900557563,Consumer services,Restaurants,108.88,INR,57.16,INR,BSE,36.217299999999994,68.90050697084918
RITCO,Ritco Logistics Ltd.,313.6,INR,6.702960190541016,13880,1.489909832546157,Transportation,Trucking,318,INR,167.15,INR,BSE,29.192599999999995,15.124816446402367
GENESYS,Genesys International Corporation Limited,182.3,INR,6.701785191688627,1145549,1.2934420732597014,Technology services,Packaged software,442.25256189,INR,135.18771397,INR,NSE,47.310900000000004,-38.60471294451506
AVALON,Avalon Technologies Limited,2197.3,INR,6.69612508497621,1136151,1.870035025577889,Electronic technology,Electronic production equipment,2258,INR,777.3,INR,NSE,45.3334,150.6902452937821
AVALON,Avalon Technologies Limited,2197.7,INR,6.689645128404279,38541,1.0522019498265025,Electronic technology,Electronic production equipment,2255.25,INR,778.15,INR,BSE,45.3334,150.97927254039854
