Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,RS_Rank,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
83,ATLANTAA.NS,40.3,37.62,7.12,45.09,1959,YES,YES,NO,117.73K,Industrial Services,Engineering & Construction,42.0,60.0,38.0,26.0,1.9721,1.9664,82.64K,29.15K,73.39,29.41,3.28B,No,37.34,39.23,41.73,38.96,40.4,498
84,UNIQUEO.BO,87.4,81.64,7.06,32.72,2672,YES,YES,NO,10.63K,Consumer Non-Durables,Food: Major Diversified,22.0,65.0,22.0,31.0,6.5614,6.3107,4.03K,1.78K,129.9,65.0,520.29M,No,78.97,85.55,94.25,84.19,88.63,496
85,NIACL.NS,183.76,171.77,6.98,15.71,1220,YES,YES,YES,33238.97K,Finance,Multi-Line Insurance,64.0,47.0,70.0,71.0,5.9293,5.2764,6331.32K,975.95K,218.0,116.97,302.84B,No,174.96,172.49,161.35,176.64,158.52,500
86,MIL.BO,28.82,26.95,6.94,32.98,1788,YES,YES,NO,11.15K,Finance,Financial Conglomerates,47.0,39.0,81.0,12.0,3.2157,3.2157,8.56K,1.89K,43.0,20.61,288.20M,No,26.15,26.25,30.45,26.71,28.93,496
87,MKEXIM.BO,59.53,55.67,6.93,31.56,1888,YES,YES,YES,21.65K,Process Industries,Textiles,44.0,46.0,32.0,62.0,3.0486,3.0343,21.50K,6.56K,86.98,39.88,2.40B,No,56.24,57.34,56.2,57.88,55.19,496
88,NAGPI.BO,157.25,147.1,6.9,11.16,739,YES,YES,YES,29.04K,Electronic Technology,Electronic Equipment/Instruments,77.0,72.0,44.0,49.0,8.9929,8.2857,3.41K,5.28K,177.0,80.16,2.06B,No,147.03,145.54,135.11,146.27,149.62,496
89,RICOAUTO.NS,155.81,145.75,6.9,1.38,273,YES,YES,YES,8736.31K,Producer Manufacturing,Auto Parts: Oem,91.0,87.0,88.0,74.0,8.3393,8.1079,3452.95K,2303.47K,157.99,65.73,21.08B,No,136.12,134.16,119.25,138.09,124.17,499
90,VEL.BO,64.09,59.97,6.87,5.75,144,YES,YES,YES,36.72K,Distribution Services,Wholesale Distributors,94.0,74.0,84.0,76.0,3.0714,3.03,24.47K,22.26K,68.0,17.03,1.63B,No,60.84,60.15,46.72,61.15,51.21,496
91,ENGINERSIN.NS,240.27,224.89,6.84,10.01,1085,YES,YES,YES,8572.12K,Industrial Services,Engineering & Construction,67.0,46.0,28.0,81.0,5.7586,5.6093,3425.71K,831.94K,267.0,163.55,135.04B,No,228.78,235.47,213.69,236.77,219.37,500
92,RELICTEC.BO,64.1,60.0,6.83,31.78,2820,YES,NO,NO,0.38K,Finance,Finance/Rental/Leasing,18.0,46.0,19.0,11.0,7.5957,7.2,0.40K,0.30K,93.96,52.02,358.39M,No,63.31,66.84,73.44,65.54,70.28,498
93,TRADEUNO.BO,113.15,105.95,6.8,30.13,1695,YES,YES,,51.60K,Retail Trade,Apparel/Footwear Retail,50.0,91.0,36.0,27.0,4.0857,2.9179,6.92K,7.56K,161.95,87.0,2.02B,No,99.03,98.7,,98.89,109.71,186
94,HBSL.NS,59.08,55.34,6.76,45.7,2783,YES,YES,NO,24.00K,Finance,Investment Banks/Brokers,19.0,88.0,41.0,33.0,2.7764,2.3257,2.60K,2.18K,108.8,42.63,421.69M,No,50.08,51.82,63.19,52.18,56.3,498
95,ARTEMISMED.NS,322.15,301.75,6.76,0.85,593,YES,YES,YES,1314.64K,Health Services,Hospital/Nursing Management,82.0,89.0,83.0,79.0,10.85,10.7964,226.84K,418.89K,324.9,203.35,,No,283.21,272.52,255.87,275.32,252.68,493
96,RGL.NS,124.95,117.11,6.69,15.52,1392,YES,YES,YES,839.27K,Consumer Durables,Other Consumer Specialties,59.0,63.0,80.0,62.0,3.8164,3.8029,698.30K,316.86K,147.9,85.0,13.42B,No,119.21,113.62,115.73,115.29,109.64,500
97,SANSERA.NS,3742.8,3508.7,6.67,0.88,116,YES,YES,YES,440.78K,Producer Manufacturing,Auto Parts: Oem,95.0,90.0,92.0,95.0,133.7286,125.0428,305.16K,223.77K,3776.0,1216.3,233.56B,No,3295.99,3124.91,2277.55,3200.0,2565.63,500
98,HAPPYFORGE.NS,1817.0,1703.4,6.67,0.66,280,YES,YES,YES,363.59K,Producer Manufacturing,Metal Fabrication,90.0,91.0,88.0,91.0,62.4,61.0714,116.07K,55.05K,1829.0,862.05,171.49B,No,1631.3,1521.4,1263.65,1545.61,1356.92,500
99,KHAICHEM.NS,52.68,49.39,6.66,61.21,3234,YES,NO,NO,488.62K,Process Industries,Chemicals: Agricultural,6.0,41.0,26.0,16.0,2.1593,2.0629,75.35K,83.54K,135.8,42.92,5.11B,No,49.24,52.69,66.53,52.45,55.3,499
100,TDPOWERSYS.NS,1201.9,1127.5,6.6,12.88,347,YES,YES,YES,1950.45K,Producer Manufacturing,Electrical Products,89.0,61.0,51.0,92.0,57.0357,52.5071,1385.98K,1304.12K,1379.6,466.25,187.77B,No,1125.08,1192.74,932.97,1177.58,1025.65,499
101,SHREEPAC.BO,153.9,144.4,6.58,45.65,904,YES,YES,NO,6.50K,Health Technology,Medical Specialties,73.0,90.0,63.0,56.0,10.4393,10.1536,3.57K,4.12K,283.15,90.0,577.08M,No,140.69,137.78,165.55,138.91,135.94,496
