Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
184,ANTELOPUS.NS,1130.95,1161.2,379.19K,Energy Minerals,Integrated Oil,94.0,96.0,89.0,93.0,91.8929,91.3,1346.33K,1840.64K,1218.3,357.0,39.77B,No,1045.51,913.49,694.37,921.77,772.2,501
185,SHARDUL.NS,55.28,54.8,23.28K,Finance,Investment Banks/Brokers,94.0,76.0,97.0,,1.4771,1.4507,19.18K,17.40K,60.0,23.05,4.84B,No,53.99,51.35,,51.34,,110
186,ONELIFECAP.NS,35.81,35.09,87.25K,Finance,Investment Managers,94.0,76.0,66.0,95.0,2.1714,2.1257,52.33K,61.42K,40.1,11.15,1.34B,No,32.84,34.03,23.63,33.87,26.76,499
189,IRISDOREME.NS,65.85,66.26,194.22K,Consumer Non-Durables,Apparel/Footwear,93.0,86.0,95.0,93.0,3.425,3.4093,1115.90K,1137.22K,68.0,26.35,12.53B,No,61.51,56.47,40.57,58.44,43.47,498
191,KAPSTON.NS,578.1,585.9,34.98K,Commercial Services,Miscellaneous Commercial Services,93.0,85.0,94.0,92.0,21.1714,21.0893,71.98K,50.76K,600.0,244.18,17.59B,No,572.54,530.9,384.7,547.2,403.22,500
196,VENUSREM.NS,1624.8,1643.7,31.46K,Health Technology,Pharmaceuticals: Major,93.0,41.0,23.0,90.0,79.8714,79.8714,43.72K,24.10K,2044.3,428.0,21.74B,No,1618.87,1641.72,1194.63,1643.59,1374.06,498
197,COMSYN.NS,292.5,299.3,325.95K,Process Industries,Containers/Packaging,93.0,62.0,96.0,90.0,14.2893,14.25,1041.86K,664.75K,315.4,136.44,11.80B,No,298.29,261.83,185.08,267.42,197.04,500
198,ATHERENERG.NS,1499.0,1499.4,3275.66K,Consumer Durables,Motor Vehicles,93.0,69.0,93.0,91.0,58.8,55.9929,5053.05K,4459.01K,1744.0,534.5,593.78B,No,1607.87,1476.2,994.8,1491.93,1118.01,351
199,CPPLUS.NS,3800.1,3831.8999,318.51K,Consumer Durables,Electronics/Appliances,93.0,83.0,62.0,94.0,160.9214,157.5143,245.44K,344.31K,4094.0,1227.0,449.55B,No,3678.16,3586.95,2545.24,3589.95,2950.77,286
201,VINDHYATEL.NS,2767.5,2864.6001,52.01K,Industrial Services,Engineering & Construction,93.0,88.0,85.0,95.0,137.95,133.8357,78.91K,76.97K,2952.6,963.9,32.80B,No,2733.57,2427.03,1719.82,2452.83,1885.11,501
203,PREMIERPOL.NS,100.51,96.72,6670.33K,Non-Energy Minerals,Forest Products,93.0,85.0,95.0,87.0,5.4721,5.4421,670.85K,911.26K,106.0,38.0,10.53B,No,88.49,82.37,61.19,83.83,67.46,500
206,SAYAJIHOTL.NS,327.0,327.0,0.02K,Consumer Services,Hotels/Resorts/Cruise Lines,93.0,41.0,69.0,,15.9036,14.4107,0.25K,0.20K,365.2,138.7,5.73B,No,318.41,313.45,,317.82,,116
207,ROSSTECH.NS,1418.9,1449.8,111.23K,Electronic Technology,Telecommunications Equipment,93.0,95.0,93.0,92.0,80.4286,79.9429,331.48K,883.02K,1505.0,551.9,53.69B,No,1250.8,1123.12,892.01,1144.03,984.41,448
209,SEDEMAC.NS,3313.6,3035.2,1058.88K,Producer Manufacturing,Auto Parts: Oem,93.0,74.0,76.0,93.0,131.2428,130.9,146.88K,145.45K,3368.9,1413.1,146.35B,No,2990.06,2947.37,,2978.36,,138
210,VTMLTD.NS,42.13,44.5,91.86K,Process Industries,Textiles,93.0,5.0,,,4.4243,4.4243,55.81K,120.80K,61.9,22.95,4.24B,No,51.43,,,,,33
211,MARINE.NS,401.5,425.8,2131.35K,Distribution Services,Wholesale Distributors,93.0,74.0,92.0,94.0,27.1607,26.8,1311.56K,2938.58K,450.0,150.86,56.19B,No,409.79,355.32,249.64,364.28,271.37,501
212,RAJPALAYAM.NS,767.9,790.45,0.51K,Process Industries,Textiles,93.0,37.0,36.0,,27.9071,25.6321,1.66K,1.42K,875.0,314.45,7.08B,No,782.31,807.27,,805.36,,115
213,UNIVASTU.NS,140.54,145.71,44.57K,Industrial Services,Engineering & Construction,93.0,6.0,94.0,93.0,7.3036,6.6779,148.61K,54.20K,178.98,56.02,5.06B,No,154.93,148.09,90.92,150.2,100.65,500
214,SCPL.NS,630.55,650.0,7.63K,Consumer Non-Durables,Food: Meat/Fish/Dairy,93.0,43.0,87.0,92.0,27.5036,27.5036,67.78K,6.34K,690.0,190.03,6.62B,No,643.81,624.55,431.38,635.32,482.22,498
217,KOVAI.NS,6101.0,6160.5,3.10K,Health Services,Hospital/Nursing Management,93.0,68.0,54.0,,175.25,174.2143,5.08K,5.75K,6444.0,2576.65,66.76B,No,6109.43,6004.98,,6029.7,,116
219,UTLSOLAR.NS,433.4,446.1,205.92K,Electronic Technology,Semiconductors,93.0,31.0,90.0,93.0,19.1643,18.7429,434.14K,234.84K,494.25,172.0,133.01B,No,433.73,419.1,292.62,423.46,325.74,214
221,BLUSPRING.NS,140.56,132.59,1597.81K,Commercial Services,Miscellaneous Commercial Services,93.0,76.0,82.0,97.0,8.5629,8.3714,674.35K,391.31K,142.75,43.98,21.01B,No,129.5,121.11,83.56,123.83,92.65,324
223,GCSL.NS,633.3,642.7,331.55K,Finance,Investment Banks/Brokers,93.0,92.0,93.0,91.0,21.2679,21.0072,710.88K,817.83K,649.0,213.15,14.87B,No,596.6,547.49,413.81,557.11,448.15,263
224,VALIANTLAB.NS,123.15,121.24,77.23K,Health Technology,Pharmaceuticals: Major,93.0,92.0,96.0,93.0,7.6086,7.2429,103.22K,139.35K,132.25,49.51,6.69B,No,114.87,90.81,72.15,94.49,76.03,500
227,TIMEX.NS,710.8,725.75,288.83K,Consumer Durables,Other Consumer Specialties,92.0,90.0,91.0,,34.7571,34.5321,505.54K,1135.73K,748.0,323.0,71.76B,No,653.94,600.59,,617.21,,110
228,SOTL.NS,726.5,715.6,358.62K,Process Industries,Chemicals: Specialty,92.0,77.0,84.0,93.0,36.9643,36.9643,809.33K,251.42K,850.1,285.8,49.81B,No,713.17,683.1,478.22,696.52,524.51,501
229,SYRMA.NS,1698.6,1719.4,840.85K,Electronic Technology,Electronic Production Equipment,92.0,88.0,80.0,93.0,83.9714,83.5429,1813.86K,3462.17K,1803.9,634.5,327.19B,No,1580.79,1482.8,1084.64,1493.27,1209.61,501
232,OAL.NS,532.3,558.35,26.52K,Process Industries,Chemicals: Specialty,92.0,98.0,95.0,93.0,32.4464,32.1643,74.08K,47.98K,570.0,228.0,17.91B,No,515.97,426.12,327.44,439.02,347.15,500
233,WELINV.NS,2457.0,2457.0,0.02K,Finance,Investment Banks/Brokers,92.0,88.0,89.0,91.0,52.9071,41.7214,2.64K,0.19K,2457.0,1000.1,9.01B,No,2294.64,2061.98,1620.06,2108.78,1757.88,498
234,MMP.NS,453.95,464.8,55.17K,Non-Energy Minerals,Other Metals/Minerals,92.0,87.0,95.0,92.0,31.6679,31.1393,97.64K,84.64K,498.0,185.2,11.53B,No,438.73,371.55,284.08,383.92,298.56,498
235,TDPOWERSYS.NS,742.0,765.5,1289.18K,Producer Manufacturing,Electrical Products,92.0,35.0,78.0,88.0,38.0857,37.4321,2645.17K,2923.86K,817.55,282.6,232.77B,No,751.73,689.29,534.07,706.59,601.72,501
237,SSWL.NS,376.1,371.95,1355.23K,Producer Manufacturing,Auto Parts: Oem,92.0,94.0,95.0,92.0,19.0286,18.375,1783.32K,1286.02K,389.85,169.0,59.15B,No,357.29,323.45,238.45,329.16,252.88,500
