Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
2102,KAIRA.BO,1467.9,0.01K,Process Industries,Containers/Packaging,33.0,34.0,39.0,23.0,0.04K,0.03K,1935.0,1420.0,1.35B,No
2103,BAYERCROP.NS,4526.9,25.08K,Process Industries,Chemicals: Agricultural,33.0,48.0,43.0,20.0,31.86K,37.56K,6511.0,4217.45,203.45B,No
2104,RATNAMANI.NS,2314.7,13.66K,Non-Energy Minerals,Steel,33.0,56.0,58.0,31.0,34.10K,12.44K,3344.9,2256.0,162.24B,No
2105,KANORICHEM.NS,77.54,3.59K,Process Industries,Chemicals: Specialty,33.0,85.0,55.0,30.0,22.76K,49.18K,119.8,69.5,3.39B,No
2106,NAHARPOLY.NS,241.0,16.41K,Process Industries,Textiles,33.0,26.0,14.0,6.0,18.66K,16.00K,389.95,176.42,5.93B,No
2107,FINCABLES.NS,773.4,145.00K,Producer Manufacturing,Electrical Products,33.0,72.0,55.0,28.0,224.00K,211.48K,1243.05,707.3,118.28B,No
2108,INNOVATORS.BO,180.0,14.40K,Process Industries,Industrial Specialties,33.0,25.0,26.0,55.0,12.31K,7.20K,295.0,174.5,3.40B,No
2109,YUKEN.NS,844.9,1.61K,Producer Manufacturing,Industrial Machinery,33.0,36.0,29.0,13.0,4.75K,3.95K,1204.4,712.7,11.50B,No
2110,RNITAI.BO,51.74,194.76K,Producer Manufacturing,Electrical Products,33.0,5.0,,,260.83K,128.29K,63.49,49.11,3.87B,No
2111,MIDHANI.NS,311.35,631.02K,Non-Energy Minerals,Other Metals/Minerals,32.0,27.0,14.0,10.0,365.07K,452.28K,469.0,226.93,58.33B,No
2112,LGLL.BO,52.0,6.40K,Commercial Services,Miscellaneous Commercial Services,32.0,53.0,35.0,37.0,36.01K,25.92K,78.75,39.0,1.07B,No
2113,IVP.NS,148.13,2.62K,Process Industries,Chemicals: Specialty,32.0,12.0,45.0,31.0,10.64K,3.13K,223.69,138.05,1.56B,No
2114,ARVSMART.NS,607.6,12.00K,Finance,Real Estate Development,32.0,79.0,53.0,48.0,43.80K,47.08K,927.95,568.35,27.86B,No
