Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
97,MEGAMONT.BO,147.9,155.65,0.53K,Non-Energy Minerals,Forest Products,96.0,4.0,43.0,97.0,3.0893,0.6857,0.92K,0.80K,206.0,40.1,2.20B,No,153.5,160.38,108.38,157.87,132.83,494
98,AMALGAM.BO,144.1,145.55,0.02K,Commercial Services,Miscellaneous Commercial Services,96.0,98.0,98.0,95.0,3.0693,0.0843,0.90K,2.59K,147.91,38.9,400.10M,No,124.12,104.11,74.78,113.55,75.87,496
99,INCON.BO,26.34,25.83,1.75K,Producer Manufacturing,Industrial Machinery,96.0,1.0,98.0,95.0,0.645,0.09,3.47K,2.73K,37.04,10.83,113.98M,No,30.22,24.61,16.6,26.3,17.92,494
100,RGIL.BO,283.0,283.0,62.61K,Process Industries,Pulp & Paper,96.0,74.0,93.0,95.0,3.8107,1.575,3.90K,6.98K,319.0,63.31,3.72B,No,291.12,242.17,172.89,253.15,187.98,495
102,CHOKSI.BO,252.05,242.5,1.61K,Health Technology,Medical Specialties,96.0,97.0,97.0,95.0,20.7357,20.35,6.34K,20.43K,266.45,75.0,1.44B,No,208.72,176.35,141.17,190.39,159.3,495
105,TRUEGREEN.BO,189.9,187.75,3.93K,Process Industries,Textiles,96.0,49.0,83.0,97.0,9.5464,9.5464,11.97K,7.33K,200.85,52.75,6.26B,No,186.53,186.26,119.3,188.73,145.07,495
107,DATIWARE.BO,52.2,47.5,0.30K,Process Industries,Agricultural Commodities/Milling,96.0,97.0,97.0,95.0,1.0079,0.1043,0.14K,0.49K,52.2,17.78,261.00M,No,40.55,33.13,25.4,34.32,27.54,495
108,KETOMOTORS.BO,195.25,205.5,4.56K,Process Industries,Chemicals: Agricultural,96.0,1.0,98.0,95.0,2.3143,0.0,6.17K,0.44K,252.2,91.4,13.75B,No,221.21,199.81,120.35,206.75,135.06,496
109,AMS.BO,74.49,74.5,0.58K,Producer Manufacturing,Auto Parts: Oem,96.0,98.0,55.0,97.0,3.3486,3.1129,0.45K,0.34K,81.46,25.77,246.00M,No,63.78,54.77,42.15,58.21,50.58,496
111,PURPLEWAVE.BO,257.95,245.7,39.00K,Technology Services,Packaged Software,96.0,98.0,98.0,96.0,17.5679,16.675,39.59K,102.40K,257.95,95.1,,No,160.68,132.6,,148.5,127.1,156
112,EMAINDIA.BO,621.7,634.35,0.30K,Producer Manufacturing,Industrial Machinery,95.0,2.0,58.0,81.0,17.45,8.0679,1.80K,0.83K,876.75,126.7,624.81M,No,725.2,773.44,541.14,744.57,595.8,495
115,COSPOWER.BO,1905.0,1910.0,1.50K,Producer Manufacturing,Electrical Products,95.0,62.0,95.0,95.0,65.2643,50.45,1.38K,0.39K,2140.0,595.0,3.50B,No,1938.86,1862.7,1183.25,1880.67,1326.59,496
118,GALLOPENT.BO,37.82,39.62,0.85K,Finance,Real Estate Development,95.0,88.0,97.0,95.0,2.4364,2.275,0.34K,0.29K,42.0,16.36,189.53M,No,37.56,30.96,23.58,32.69,25.84,496
121,SBECSUG.BO,65.7,62.58,10.12K,Process Industries,Agricultural Commodities/Milling,95.0,49.0,98.0,95.0,3.6371,3.6371,14.64K,4.95K,88.84,26.85,3.13B,No,63.67,65.32,39.64,66.56,43.03,495
122,CHMBBRW.BO,47.64,48.61,1.80K,Consumer Non-Durables,Beverages: Alcoholic,95.0,98.0,95.0,95.0,0.94,0.0171,16.83K,41.58K,49.6,15.01,356.76M,No,42.17,31.59,28.8,34.6,29.51,494
129,TITANBIO.BO,398.4,407.05,22.72K,Health Technology,Biotechnology,95.0,48.0,16.0,94.0,16.3286,16.325,27.03K,14.57K,555.65,86.6,16.46B,No,415.17,416.94,328.99,413.31,387.22,497
130,SVRL.BO,501.65,505.85,12.45K,Process Industries,Agricultural Commodities/Milling,95.0,96.0,98.0,92.0,24.75,22.1071,15.26K,27.00K,531.0,185.75,11.10B,No,415.16,330.81,285.11,362.1,294.03,495
