Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,%Dist_52H
199,YASHO.NS,2759.0,25.25K,Consumer Non-Durables,Food: Specialty/Candy,93.0,98.0,96.0,94.0,177.6,174.6214,31.80K,61.89K,3025.0,1130.0,33.32B,No,1859.85,1614.48,1992.53,1615.7,-8.79
201,GRWRHITECH.NS,6221.5,29.60K,Process Industries,Chemicals: Specialty,92.0,87.0,92.0,94.0,291.95,290.0214,114.32K,77.90K,6397.0,2681.0,144.54B,No,5005.64,3857.65,5261.5,4156.55,-2.74
204,SPORTKING.NS,178.82,80.33K,Process Industries,Textiles,92.0,88.0,93.0,95.0,10.445,9.9507,556.81K,390.86K,198.5,78.17,22.76B,No,156.6,115.02,159.92,121.48,-9.91
206,INDOTECH.NS,2660.0,3.84K,Producer Manufacturing,Electrical Products,92.0,40.0,96.0,93.0,134.1071,133.1357,75.25K,22.48K,2977.6,1100.0,28.25B,No,2379.4,1773.71,2514.79,1790.96,-10.67
207,ADVAIT.NS,2367.0,30.60K,Producer Manufacturing,Electrical Products,92.0,90.0,90.0,,125.8714,123.0928,76.06K,109.55K,2405.0,1351.0,25.89B,No,2033.79,,2089.79,,-1.58
208,PARACABLES.NS,65.28,1962.13K,Producer Manufacturing,Electrical Products,92.0,83.0,96.0,94.0,4.9357,4.7336,3573.80K,4065.59K,72.45,28.3,19.88B,No,51.83,42.29,55.01,41.89,-9.9
210,ROSSTECH.NS,996.4,24.01K,Electronic Technology,Telecommunications Equipment,92.0,72.0,85.0,87.0,57.1214,55.5429,143.40K,95.18K,1122.0,393.4,37.62B,No,961.18,755.4,969.39,785.79,-11.19
211,POWERINDIA.NS,34695.0,34.14K,Electronic Technology,Electronic Equipment/Instruments,92.0,74.0,85.0,94.0,1358.2143,1255.7143,166.43K,189.47K,38785.0,16111.0,1545.77B,No,33003.7,23517.28,34113.5,25813.47,-10.55
215,MWL.NS,374.8,6.73K,Non-Energy Minerals,Steel,92.0,71.0,85.0,89.0,8.8964,8.8571,81.48K,48.22K,395.5,158.0,11.13B,No,337.73,271.83,349.32,295.46,-5.23
216,KMEW.NS,1971.8,26.00K,Producer Manufacturing,Trucks/Construction/Farm Machinery,92.0,54.0,71.0,88.0,101.8929,99.6857,134.62K,82.54K,2285.4,762.95,48.12B,No,1907.53,1574.87,1904.89,1737.58,-13.72
217,RPEL.NS,1189.45,93.22K,Process Industries,Chemicals: Major Diversified,92.0,97.0,94.0,79.0,53.0893,52.8393,158.53K,219.13K,1219.0,561.3,54.56B,No,854.5,801.31,911.91,829.02,-2.42
219,DIACABS.NS,212.08,2866.14K,Producer Manufacturing,Electrical Products,92.0,79.0,91.0,90.0,10.8771,10.3457,4862.38K,5409.17K,219.0,99.55,111.72B,No,176.41,149.16,184.37,150.44,-3.16
221,WELCORP.NS,1404.1,161.11K,Producer Manufacturing,Industrial Machinery,92.0,57.0,95.0,94.0,44.0857,42.6,916.61K,714.34K,1427.0,710.0,370.08B,No,1257.31,938.12,1299.73,969.67,-1.6
222,PARKHOSPS.NS,271.4,302.60K,Health Services,Hospital/Nursing Management,92.0,77.0,82.0,,11.49,11.49,862.43K,552.49K,297.0,138.1,117.23B,No,249.52,,254.84,,-8.62
223,RRKABEL.NS,2213.9,796.59K,Producer Manufacturing,Electrical Products,92.0,75.0,91.0,92.0,92.9071,89.7,604.45K,608.08K,2277.7,1165.0,250.48B,No,1817.44,1483.9,1898.52,1584.76,-2.8
224,ADANIPOWER.NS,219.27,8404.33K,Utilities,Electric Utilities,92.0,41.0,93.0,91.0,7.5264,7.4557,48171.82K,28523.86K,254.2,105.42,4230.48B,No,217.09,163.27,222.0,171.42,-13.74
226,STYLAMIND.NS,3287.4,14.24K,Non-Energy Minerals,Forest Products,92.0,93.0,90.0,91.0,110.4286,107.8071,60.24K,46.16K,3340.0,1593.7,55.75B,No,2601.27,2193.72,2702.91,2363.65,-1.57
227,VINDHYATEL.NS,2193.0,36.88K,Industrial Services,Engineering & Construction,92.0,95.0,96.0,89.0,159.7071,153.1714,100.31K,127.66K,2345.0,963.9,25.91B,No,1659.08,1411.05,1744.7,1401.49,-6.48
228,CMPDI.NS,249.1,3888.20K,Commercial Services,Miscellaneous Commercial Services,92.0,76.0,,,12.0579,11.8057,5721.48K,3310.49K,263.65,150.16,,No,211.15,,219.5,,-5.52
231,SBCL.NS,735.25,198.07K,Non-Energy Minerals,Other Metals/Minerals,92.0,90.0,94.0,93.0,33.7607,33.3107,561.30K,408.40K,789.0,368.6,42.35B,No,625.82,505.29,650.85,510.44,-6.81
232,SOTL.NS,605.9,304.37K,Process Industries,Chemicals: Specialty,92.0,97.0,94.0,93.0,41.9607,40.6393,450.52K,2079.57K,620.0,285.8,42.41B,No,425.03,387.24,453.53,387.75,-2.27
233,SKYGOLD.NS,532.5,422.49K,Consumer Durables,Other Consumer Specialties,92.0,90.0,92.0,92.0,31.05,29.2679,1368.71K,1610.20K,590.0,246.05,82.55B,No,465.88,362.59,483.66,385.81,-9.75
237,DECNGOLD.NS,194.5,4799.02K,Non-Energy Minerals,Precious Metals,91.0,98.0,,,12.8179,11.9836,2075.49K,3032.43K,201.44,114.8,,No,,,,,-3.45
238,EMMVEE.NS,334.55,993.13K,Electronic Technology,Semiconductors,91.0,93.0,93.0,91.0,16.4,15.8821,4754.58K,4191.83K,352.0,171.51,231.45B,No,280.3,,291.4,234.05,-4.96
